0.00000000e+00 0.00000000e+00
2.25000000e-05 5.68553634e+14
4.50000000e-05 7.12012631e+14
6.75000000e-05 8.91669592e+14
9.00000000e-05 1.11665808e+15
1.12500000e-04 1.39841629e+15
1.35000000e-04 1.75126848e+15
1.57500000e-04 2.19315330e+15
1.80000000e-04 2.74653570e+15
2.02500000e-04 3.43954905e+15
2.25000000e-04 4.30742541e+15
2.47500000e-04 5.39428668e+15
2.70000000e-04 6.75538775e+15
2.92500000e-04 8.45992554e+15
3.15000000e-04 1.05945569e+16
3.37500000e-04 1.32678043e+16
3.60000000e-04 1.66155727e+16
3.82500000e-04 2.08080592e+16
4.05000000e-04 2.60584052e+16
4.27500000e-04 3.26335328e+16
4.50000000e-04 4.08677144e+16
4.72500000e-04 5.11795671e+16
4.95000000e-04 6.40933345e+16
5.17500000e-04 8.02655387e+16
5.40000000e-04 1.00518357e+17
5.62500000e-04 1.25881422e+17
5.85000000e-04 1.57644165e+17
6.07500000e-04 1.97421369e+17
6.30000000e-04 2.47235265e+17
6.52500000e-04 3.09618338e+17
6.75000000e-04 3.87742078e+17
6.97500000e-04 4.85578213e+17
7.20000000e-04 6.08100626e+17
7.42500000e-04 7.61538228e+17
7.65000000e-04 9.53691622e+17
7.87500000e-04 1.19432968e+18
8.10000000e-04 1.49568619e+18
8.32500000e-04 1.87308179e+18
8.55000000e-04 2.34570288e+18
8.77500000e-04 2.93757700e+18
9.00000000e-04 3.67879441e+18
9.22500000e-04 4.60703781e+18
9.45000000e-04 5.76949810e+18
9.67500000e-04 7.22527354e+18
9.90000000e-04 9.04837418e+18
1.01250000e-03 1.00000000e+19
1.03500000e-03 1.00000000e+19
1.05750000e-03 1.00000000e+19
1.08000000e-03 1.00000000e+19
1.10250000e-03 1.00000000e+19
1.12500000e-03 1.00000000e+19
1.14750000e-03 1.00000000e+19
1.17000000e-03 1.00000000e+19
1.19250000e-03 1.00000000e+19
1.21500000e-03 1.00000000e+19
1.23750000e-03 1.00000000e+19
1.26000000e-03 1.00000000e+19
1.28250000e-03 1.00000000e+19
1.30500000e-03 1.00000000e+19
1.32750000e-03 1.00000000e+19
1.35000000e-03 1.00000000e+19
1.37250000e-03 1.00000000e+19
1.39500000e-03 1.00000000e+19
1.41750000e-03 1.00000000e+19
1.44000000e-03 1.00000000e+19
1.46250000e-03 1.00000000e+19
1.48500000e-03 1.00000000e+19
1.50750000e-03 1.00000000e+19
1.53000000e-03 1.00000000e+19
1.55250000e-03 1.00000000e+19
1.57500000e-03 1.00000000e+19
1.59750000e-03 1.00000000e+19
1.62000000e-03 1.00000000e+19
1.64250000e-03 1.00000000e+19
1.66500000e-03 1.00000000e+19
1.68750000e-03 1.00000000e+19
1.71000000e-03 1.00000000e+19
1.73250000e-03 1.00000000e+19
1.75500000e-03 1.00000000e+19
1.77750000e-03 1.00000000e+19
1.80000000e-03 1.00000000e+19
1.82250000e-03 1.00000000e+19
1.84500000e-03 1.00000000e+19
1.86750000e-03 1.00000000e+19
1.89000000e-03 1.00000000e+19
1.91250000e-03 1.00000000e+19
1.93500000e-03 1.00000000e+19
1.95750000e-03 1.00000000e+19
1.98000000e-03 1.00000000e+19
2.00250000e-03 1.00000000e+19
2.02500000e-03 1.00000000e+19
2.04750000e-03 1.00000000e+19
2.07000000e-03 1.00000000e+19
2.09250000e-03 1.00000000e+19
2.11500000e-03 1.00000000e+19
2.13750000e-03 1.00000000e+19
2.16000000e-03 1.00000000e+19
2.18250000e-03 1.00000000e+19
2.20500000e-03 1.00000000e+19
2.22750000e-03 1.00000000e+19
2.25000000e-03 1.00000000e+19
2.27250000e-03 1.00000000e+19
2.29500000e-03 1.00000000e+19
2.31750000e-03 1.00000000e+19
2.34000000e-03 1.00000000e+19
2.36250000e-03 1.00000000e+19
2.38500000e-03 1.00000000e+19
2.40750000e-03 1.00000000e+19
2.43000000e-03 1.00000000e+19
2.45250000e-03 1.00000000e+19
2.47500000e-03 1.00000000e+19
2.49750000e-03 1.00000000e+19
2.52000000e-03 1.00000000e+19
2.54250000e-03 1.00000000e+19
2.56500000e-03 1.00000000e+19
2.58750000e-03 1.00000000e+19
2.61000000e-03 1.00000000e+19
2.63250000e-03 1.00000000e+19
2.65500000e-03 1.00000000e+19
2.67750000e-03 1.00000000e+19
2.70000000e-03 1.00000000e+19
2.72250000e-03 1.00000000e+19
2.74500000e-03 1.00000000e+19
2.76750000e-03 1.00000000e+19
2.79000000e-03 1.00000000e+19
2.81250000e-03 1.00000000e+19
2.83500000e-03 1.00000000e+19
2.85750000e-03 1.00000000e+19
2.88000000e-03 1.00000000e+19
2.90250000e-03 1.00000000e+19
2.92500000e-03 1.00000000e+19
2.94750000e-03 1.00000000e+19
2.97000000e-03 1.00000000e+19
2.99250000e-03 1.00000000e+19
3.01500000e-03 1.00000000e+19
3.03750000e-03 1.00000000e+19
3.06000000e-03 1.00000000e+19
3.08250000e-03 1.00000000e+19
3.10500000e-03 1.00000000e+19
3.12750000e-03 1.00000000e+19
3.15000000e-03 1.00000000e+19
3.17250000e-03 1.00000000e+19
3.19500000e-03 1.00000000e+19
3.21750000e-03 1.00000000e+19
3.24000000e-03 1.00000000e+19
3.26250000e-03 1.00000000e+19
3.28500000e-03 1.00000000e+19
3.30750000e-03 1.00000000e+19
3.33000000e-03 1.00000000e+19
3.35250000e-03 1.00000000e+19
3.37500000e-03 1.00000000e+19
3.39750000e-03 1.00000000e+19
3.42000000e-03 1.00000000e+19
3.44250000e-03 1.00000000e+19
3.46500000e-03 1.00000000e+19
